business_id,sector,district,rating,review_count,address_listed,phone_listed,hours_listed,price_listed,captured_date,sample_type
ALSV26-001,restaurant,Muratpaşa,4.7,1224.0,1,1,1,1,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-002,restaurant,Muratpaşa,4.9,2681.0,1,1,1,1,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-003,restaurant,Muratpaşa,4.1,355.0,1,1,1,1,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-004,restaurant,Muratpaşa,4.5,1188.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-005,restaurant,Muratpaşa,4.2,2845.0,1,1,1,1,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-006,dental_clinic,Muratpaşa,5.0,178.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-007,dental_clinic,Muratpaşa,4.9,209.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-008,dental_clinic,Muratpaşa,5.0,103.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-009,law_firm,Muratpaşa,4.9,91.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-010,law_firm,Muratpaşa,5.0,109.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-011,law_firm,Muratpaşa,5.0,45.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-012,real_estate,Muratpaşa,4.8,217.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-013,real_estate,Konyaaltı,4.5,344.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-014,real_estate,Muratpaşa,,,1,0,0,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-015,construction,Kepez,5.0,20.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-016,construction,Muratpaşa,5.0,27.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-017,construction,Konyaaltı,5.0,16.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-018,auto_service,Kepez,4.8,96.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-019,auto_service,Kepez,4.9,126.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-020,auto_service,Kepez,4.8,72.0,1,1,1,0,2026-08-24,purposeful_local_search_visibility_sample
ALSV26-021,hotel,Muratpaşa,4.2,8645.0,1,1,0,1,2026-08-24,purposeful_local_search_visibility_sample
