sector,n,avg_rating,median_rating,median_review_count,avg_review_count,address_listed_pct,phone_listed_pct,hours_listed_pct
hotel,4,4.38,4.35,4399,4800.8,100.0,100.0,0.0
restaurant,5,4.48,4.5,1224,1658.6,100.0,100.0,100.0
car_rental,3,4.8,4.8,1087,1600.0,100.0,100.0,100.0
gym,3,4.53,4.5,465,485.0,100.0,100.0,100.0
cafe,3,4.73,4.7,440,868.0,100.0,66.7,100.0
photographer,3,4.9,4.9,301,299.0,100.0,100.0,100.0
hair_salon,4,4.75,4.75,298,315.0,100.0,100.0,100.0
real_estate,3,4.65,4.65,280,280.5,100.0,66.7,66.7
travel_agency,3,4.63,4.7,195,185.3,100.0,100.0,100.0
health_clinic,3,4.8,4.8,188,214.3,100.0,100.0,100.0
dental_clinic,3,4.97,5.0,178,163.3,100.0,100.0,100.0
language_school,3,4.6,4.6,107,111.3,100.0,100.0,100.0
auto_service,3,4.83,4.8,96,98.0,100.0,100.0,100.0
law_firm,3,4.97,5.0,91,81.7,100.0,100.0,100.0
beauty_salon,4,4.88,4.9,62,68.8,100.0,100.0,100.0
veterinary,3,4.77,4.8,37,46.7,100.0,100.0,100.0
pharmacy,4,4.68,4.65,34,41.0,100.0,100.0,75.0
construction,3,5.0,5.0,20,21.0,100.0,100.0,100.0
